Date,Open,High,Low,Close,Adj Close,Volume
2022-01-25,36.660000,37.660000,35.330002,35.919998,35.825726,146700
2022-01-26,38.040001,40.310001,36.000000,37.080002,36.982685,315400
2022-01-27,38.099998,38.209999,33.740002,33.990002,33.900795,193600
2022-01-28,33.869999,35.630001,31.959999,35.630001,35.536491,370600
2022-01-31,36.029999,39.580002,35.660000,39.520000,39.416279,222800
2022-02-01,40.389999,40.529999,38.209999,40.250000,40.144363,278200
2022-02-02,42.330002,42.720001,40.630001,42.439999,42.328613,249700
2022-02-03,40.380001,41.459999,38.380001,38.689999,38.588455,186500
2022-02-04,38.380001,39.880001,37.360001,39.169998,39.067196,377100
2022-02-07,39.369999,40.410000,38.950001,39.290001,39.186882,189800
2022-02-08,38.730000,41.270000,38.500000,41.049999,40.942265,145300
2022-02-09,42.369999,44.380001,41.480000,44.299999,44.183735,231500
2022-02-10,42.060001,44.799999,41.000000,41.439999,41.331238,198200
2022-02-11,41.599998,42.169998,36.389999,36.900002,36.803158,231400
2022-02-14,37.259998,38.450001,36.119999,37.230000,37.132290,130900
2022-02-15,38.750000,41.799999,38.750000,41.689999,41.580582,184100
2022-02-16,40.689999,41.830002,39.680000,41.650002,41.540691,162400
2022-02-17,40.240002,40.360001,37.860001,37.980000,37.880322,186100
2022-02-18,38.090000,38.209999,35.480000,36.700001,36.603680,214600
2022-02-22,35.880001,37.900002,35.110001,36.150002,36.055126,398800
2022-02-23,37.000000,37.790001,33.990002,34.150002,34.060375,258200
2022-02-24,31.600000,37.369999,31.370001,37.259998,37.162209,388600
2022-02-25,37.430000,38.619999,36.290001,38.529999,38.428875,260200
2022-02-28,37.779999,39.230000,37.080002,38.570000,38.468773,161100
